"Date(UTC)","UnixTimeStamp","Value"
"8/29/2020","1598659200","35"
"8/30/2020","1598745600","51"
"8/31/2020","1598832000","89"
"9/1/2020","1598918400","140"
"9/2/2020","1599004800","176"
"9/3/2020","1599091200","224"
"9/4/2020","1599177600","300"
"9/5/2020","1599264000","388"
"9/6/2020","1599350400","415"
"9/7/2020","1599436800","507"
"9/8/2020","1599523200","652"
"9/9/2020","1599609600","755"
"9/10/2020","1599696000","987"
"9/11/2020","1599782400","1608"
"9/12/2020","1599868800","4927"
"9/13/2020","1599955200","8483"
"9/14/2020","1600041600","13860"
"9/15/2020","1600128000","16196"
"9/16/2020","1600214400","17878"
"9/17/2020","1600300800","18551"
"9/18/2020","1600387200","19307"
"9/19/2020","1600473600","20565"
"9/20/2020","1600560000","21860"
"9/21/2020","1600646400","22700"
"9/22/2020","1600732800","23808"
"9/23/2020","1600819200","25341"
"9/24/2020","1600905600","27546"
"9/25/2020","1600992000","29572"
"9/26/2020","1601078400","30878"
"9/27/2020","1601164800","32621"
"9/28/2020","1601251200","35231"
"9/29/2020","1601337600","41285"
"9/30/2020","1601424000","46238"
"10/1/2020","1601510400","49782"
"10/2/2020","1601596800","56306"
"10/3/2020","1601683200","60722"
"10/4/2020","1601769600","66064"
"10/5/2020","1601856000","70711"
"10/6/2020","1601942400","76745"
"10/7/2020","1602028800","87641"
"10/8/2020","1602115200","106526"
"10/9/2020","1602201600","115067"
"10/10/2020","1602288000","118230"
"10/11/2020","1602374400","124511"
"10/12/2020","1602460800","128526"
"10/13/2020","1602547200","132921"
"10/14/2020","1602633600","142074"
"10/15/2020","1602720000","210469"
"10/16/2020","1602806400","214971"
"10/17/2020","1602892800","222076"
"10/18/2020","1602979200","227655"
"10/19/2020","1603065600","234130"
"10/20/2020","1603152000","237519"
"10/21/2020","1603238400","239965"
"10/22/2020","1603324800","244993"
"10/23/2020","1603411200","247466"
"10/24/2020","1603497600","249647"
"10/25/2020","1603584000","252883"
"10/26/2020","1603670400","255390"
"10/27/2020","1603756800","258481"
"10/28/2020","1603843200","262452"
"10/29/2020","1603929600","265957"
"10/30/2020","1604016000","269494"
"10/31/2020","1604102400","277778"
"11/1/2020","1604188800","280354"
"11/2/2020","1604275200","283042"
"11/3/2020","1604361600","286149"
"11/4/2020","1604448000","288434"
"11/5/2020","1604534400","290274"
"11/6/2020","1604620800","291802"
"11/7/2020","1604707200","293113"
"11/8/2020","1604793600","294047"
"11/9/2020","1604880000","296307"
"11/10/2020","1604966400","297344"
"11/11/2020","1605052800","299160"
"11/12/2020","1605139200","300088"
"11/13/2020","1605225600","301293"
"11/14/2020","1605312000","303278"
"11/15/2020","1605398400","304203"
"11/16/2020","1605484800","305418"
"11/17/2020","1605571200","306560"
"11/18/2020","1605657600","308584"
"11/19/2020","1605744000","311965"
"11/20/2020","1605830400","314445"
"11/21/2020","1605916800","315617"
"11/22/2020","1606003200","316508"
"11/23/2020","1606089600","317761"
"11/24/2020","1606176000","319939"
"11/25/2020","1606262400","323093"
"11/26/2020","1606348800","335427"
"11/27/2020","1606435200","349574"
"11/28/2020","1606521600","358267"
"11/29/2020","1606608000","363082"
"11/30/2020","1606694400","367065"
"12/1/2020","1606780800","371618"
"12/2/2020","1606867200","374012"
"12/3/2020","1606953600","379278"
"12/4/2020","1607040000","388126"
"12/5/2020","1607126400","392870"
"12/6/2020","1607212800","395994"
"12/7/2020","1607299200","398298"
"12/8/2020","1607385600","402454"
"12/9/2020","1607472000","404563"
"12/10/2020","1607558400","407020"
"12/11/2020","1607644800","409507"
"12/12/2020","1607731200","411064"
"12/13/2020","1607817600","413008"
"12/14/2020","1607904000","415210"
"12/15/2020","1607990400","417558"
"12/16/2020","1608076800","419451"
"12/17/2020","1608163200","421447"
"12/18/2020","1608249600","435338"
"12/19/2020","1608336000","439672"
"12/20/2020","1608422400","442557"
"12/21/2020","1608508800","460739"
"12/22/2020","1608595200","475640"
"12/23/2020","1608681600","527569"
"12/24/2020","1608768000","543461"
"12/25/2020","1608854400","557085"
"12/26/2020","1608940800","569186"
"12/27/2020","1609027200","582121"
"12/28/2020","1609113600","593460"
"12/29/2020","1609200000","609510"
"12/30/2020","1609286400","621732"
"12/31/2020","1609372800","630914"
"1/1/2021","1609459200","651040"
"1/2/2021","1609545600","659937"
"1/3/2021","1609632000","668658"
"1/4/2021","1609718400","677812"
"1/5/2021","1609804800","683743"
"1/6/2021","1609891200","690783"
"1/7/2021","1609977600","696014"
"1/8/2021","1610064000","700891"
"1/9/2021","1610150400","709876"
"1/10/2021","1610236800","747421"
"1/11/2021","1610323200","775828"
"1/12/2021","1610409600","800894"
"1/13/2021","1610496000","809382"
"1/14/2021","1610582400","817277"
"1/15/2021","1610668800","823365"
"1/16/2021","1610755200","828304"
"1/17/2021","1610841600","833356"
"1/18/2021","1610928000","839137"
"1/19/2021","1611014400","845798"
"1/20/2021","1611100800","850975"
"1/21/2021","1611187200","856432"
"1/22/2021","1611273600","862136"
"1/23/2021","1611360000","873363"
"1/24/2021","1611446400","881964"
"1/25/2021","1611532800","888893"
"1/26/2021","1611619200","895854"
"1/27/2021","1611705600","930658"
"1/28/2021","1611792000","951562"
"1/29/2021","1611878400","966676"
"1/30/2021","1611964800","980887"
"1/31/2021","1612051200","991944"
"2/1/2021","1612137600","1005621"
"2/2/2021","1612224000","1016013"
"2/3/2021","1612310400","1043671"
"2/4/2021","1612396800","1065558"
"2/5/2021","1612483200","1085403"
"2/6/2021","1612569600","1099563"
"2/7/2021","1612656000","1135116"
"2/8/2021","1612742400","1173609"
"2/9/2021","1612828800","1208758"
"2/10/2021","1612915200","1238661"
"2/11/2021","1613001600","1260153"
"2/12/2021","1613088000","1285080"
"2/13/2021","1613174400","1387298"
"2/14/2021","1613260800","2061480"
"2/15/2021","1613347200","3654663"
"2/16/2021","1613433600","5675520"
"2/17/2021","1613520000","7563345"
"2/18/2021","1613606400","10678375"
"2/19/2021","1613692800","12727288"
"2/20/2021","1613779200","14759646"
"2/21/2021","1613865600","16921154"
"2/22/2021","1613952000","19254283"
"2/23/2021","1614038400","20290394"
"2/24/2021","1614124800","22147222"
"2/25/2021","1614211200","24180529"
"2/26/2021","1614297600","29134531"
"2/27/2021","1614384000","35517189"
"2/28/2021","1614470400","41574615"
"3/1/2021","1614556800","47322164"
"3/2/2021","1614643200","53896174"
"3/3/2021","1614729600","57065373"
"3/4/2021","1614816000","57170386"
"3/5/2021","1614902400","57203669"
"3/6/2021","1614988800","57233042"
"3/7/2021","1615075200","57890916"
"3/8/2021","1615161600","58136408"
"3/9/2021","1615248000","58177780"
"3/10/2021","1615334400","58217705"
"3/11/2021","1615420800","58269718"
"3/12/2021","1615507200","58326959"
"3/13/2021","1615593600","58391947"
"3/14/2021","1615680000","58747674"
"3/15/2021","1615766400","59670784"
"3/16/2021","1615852800","59749727"
"3/17/2021","1615939200","59817040"
"3/18/2021","1616025600","60192574"
"3/19/2021","1616112000","60285309"
"3/20/2021","1616198400","60384399"
"3/21/2021","1616284800","60709126"
"3/22/2021","1616371200","60966037"
"3/23/2021","1616457600","61191738"
"3/24/2021","1616544000","61439347"
"3/25/2021","1616630400","61537853"
"3/26/2021","1616716800","61641926"
"3/27/2021","1616803200","61778696"
"3/28/2021","1616889600","61890068"
"3/29/2021","1616976000","62008623"
"3/30/2021","1617062400","62131698"
"3/31/2021","1617148800","62249817"
"4/1/2021","1617235200","62393467"
"4/2/2021","1617321600","62533089"
"4/3/2021","1617408000","62672294"
"4/4/2021","1617494400","62811423"
"4/5/2021","1617580800","62955687"
"4/6/2021","1617667200","63046122"
"4/7/2021","1617753600","63223964"
"4/8/2021","1617840000","63634589"
"4/9/2021","1617926400","64201521"
"4/10/2021","1618012800","64301100"
"4/11/2021","1618099200","64415630"
"4/12/2021","1618185600","64529751"
"4/13/2021","1618272000","64639674"
"4/14/2021","1618358400","64766771"
"4/15/2021","1618444800","64957737"
"4/16/2021","1618531200","65076131"
"4/17/2021","1618617600","65237558"
"4/18/2021","1618704000","65463926"
"4/19/2021","1618790400","65656772"
"4/20/2021","1618876800","66015452"
"4/21/2021","1618963200","66342609"
"4/22/2021","1619049600","66531737"
